question,ground_truth,contexts,evolution_type
"Cơ quan, tổ chức, cá nhân vi phạm quy định bảo vệ dữ liệu cá nhân có thể bị xử lý gì?","Có thể bị xử lý kỷ luật, xử phạt vi phạm hành chính, hoặc xử lý hình sự theo quy định.","['Co quan, to chuc, ca nhan vi pham quy dinh bao ve dur lieu ca nhan tuy theo murc do co the bi xur ly ky luat, xu phat vi pham hanh chinh, xur ly hinh su theo quy dinh.']",simple
Cơ quan nhà nước có thẩm quyền có nhiệm vụ gì liên quan đến bảo vệ dữ liệu cá nhân?,"Ban hành hoặc ban hành theo thẩm quyền văn bản quy phạm pháp luật và chỉ đạo, tổ chức thực hiện văn bản quy phạm pháp luật về bảo vệ dữ liệu cá nhân.","['1. Trinh co quan nha nuoc co tham quyen ban hanh hoac ban hanh theo tham quyen van ban quy pham phap luat va chi dao, to churc thyc hien van ban quy pham phap luat ve bao ve dur lieu ca nhan.\n2. Xay dung va t? churc thuc hien chien lugc, chinh sach, dé an, dy an, chuong trinh, ke hoach ve bao ve du lieu ca nhan.\n3. Huong dan co quan, to churc, ca nhan ve bien phap, quy trinh, tieu chuan bao ve dur liéu ca nhan theo quy dinh cua phap luat.\n4. n  a o a  dd  o  a t thong, pho bien kien thuc, ky nang bao ve dur lieu ca nhan.\n5. Xay dung, dao tao, boi duong can bo, cong chuc, vien churc va nguoi duoc giao lam cong tac bao ve dur lieu ca nhan.\n6. a oa a nei dud eno p ab uy o o n y n q a lieu ca nhan; giai quyét khiéu nai, to cao va xir ly vi pham phap luat ve bao vé dur lieu ca nhan theo quy dinh cua phap luat.\n7. Thong ke, thong tin, bao cao ve tinh hinh bao ve dur lieu ca nhan va co tham quy']",simple
Việc bảo vệ dữ liệu cá nhân được thực hiện theo những quy định nào?,"Theo quy định của các điều ước quốc tế mà nước Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên, các quy định khác của Luật có liên quan và Nghị định này.","['Viec bao ve du lieu ca nhan dugc thuc hien theo quy dinh cac dieu uoc quoc té ma nuoc Cong hoa xa hoi chu nghia Viet Nam la thanh vien, cac quy dinh khac cua Luat co lien quan va Nghi dinh nay.']",simple
Một trong các hoạt động hợp tác quốc tế được nêu trong đoạn trích là gì?,Chuyển giao công nghệ phục vụ bảo vệ dữ liệu cá nhân.,"['1. Xay dung co che hop tac quoc té de tao dieu kien cho viec thuc thi co\n2. Tham gia turong trg tu phap ve bao ve du lieu ca nhan cua cac quoc gia khac, bao gom thong bao, de nghi khiéu nai, tro giup dieu tra va trao doi thong tin, voi cac bien phap bao ve thich hop de bao ve du lieu ca nhan.\n3. T? chuc cac hoi nghi, hoi thao, nghien curu khoa hoc va thuc day cac hoat dong hop tac quoc te trong viec thyc thi phap luat de bao ve dur lieu ca nhan.\n4. T0 churc cac cuoc gap song phuong, da phuong, trao doi kinh nghiem xay dung phap luat va thyc tien bao vé du lieu ca nhan.\n5. Chuyén giao cong nghe phuc vu bao ve dur lieu ca nhan.']",simple
Những hành vi nào bị nghiêm cấm liên quan đến bảo vệ dữ liệu cá nhân?,"Bao gồm: xử lý dữ liệu cá nhân trái với quy định của pháp luật; xử lý dữ liệu cá nhân để tạo ra thông tin, dữ liệu nhằm chống lại Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam; xử lý dữ liệu cá nhân để tạo ra thông tin, dữ liệu gây ảnh hưởng tới an ninh quốc gia, trật tự an toàn xã hội, quyền và lợi ích hợp pháp của tổ chức, cá nhân khác; cản trở hoạt động bảo vệ dữ liệu cá nhân của cơ quan có thẩm quyền; và lợi dụng hoạt động bảo vệ dữ liệu cá nhân để vi phạm pháp luật.","['1. Xur ly dur lieu ca nhan trai voi quy dinh cua phap luat ve bao ve du lieu ca nhan.\n2. Xur ly du lieu ca nhan dé tao ra thong tin, du lieu nham chong lai Nha nuoc Cong hoa xa hoi chu nghia Viet Nam.\n3. Xur ly du lieu ca nhan de tao ra thong tin, dur lieu gay anh huong toi an ninh quoc gia, trat ty an toan xa hoi, quyen va loi ich hop phap cua to chuc, ca nhan khac.\n4. Can tr? hoat dong bao ve du lieu ca nhan cua co quan co tham quyen.\n5. Loi dung hoat dong bao ve du lieu ca nhan de vi pham phap luat.']",simple
Chủ thể dữ liệu có quyền gì đối với việc xử lý dữ liệu cá nhân của mình?,"Được đồng ý hoặc không đồng ý cho phép xử lý dữ liệu cá nhân của mình, trừ trường hợp quy định tại Điều 17 Nghị định này.","['Chu the dur lieu durgc dong y hoac khong dong y cho phep xur ly du lieu ca nhan cua minh, trir truong hop quy dinh tai Dieu 17 Nghi dinh nay.']",simple
"Ai có quyền truy cập, xem, chỉnh sửa hoặc yêu cầu chỉnh sửa dữ liệu cá nhân của mình?",Chủ thể dữ liệu.,"['Chu the du lieu dugc truy cap de xem, chinh sura hoac yeu cau chinh sura du lieu ca nhan cua minh, trir truong hop luat co quy dinh khac.']",simple
Việc hạn chế xử lý dữ liệu được thực hiện trong bao lâu sau khi có yêu cầu của chủ thể dữ liệu?,Trong 72 giờ sau khi có yêu cầu của chủ thể dữ liệu.,"['- a) Chu the du lieu duoc yeu cau han ché xur ly dur lieu ca nhan cua minh, trir truong hop luat c6 quy dinh khac;\n- b) Viec han che xiur ly dur lieu dugc thuc hien trong 72 gio sau khi c6 yeu cau cua chu the du lieu, voi toan bo du lieu ca nhan ma chu thé du lieu yéu cau han che, tri truong hop luat co quy dinh khac.']",simple
Bên Kiểm soát dữ liệu cá nhân phải cung cấp dữ liệu cá nhân của ai?,Bên Kiểm soát và xử lý dữ liệu cá nhân cung cấp cho bản thân dữ liệu cá nhân của mình.,"['Chu the du lieu dugc yeu cau Ben Kiem soat du lieu ca nhan, Ben Kiem soat va xur ly dur lieu ca nhan cung cap cho ban than dur lieu ca nhan cua minh, trir truong hop luat co quy dinh khac.']",simple
Bên Kiểm soát dữ liệu cá nhân phải thực hiện yêu cầu của chủ thể dữ liệu trong bao lâu?,Trong 72 giờ sau khi nhận được yêu cầu.,"['- a) Chu the dur lieu dugc phan doi Ben Kiem soat du lieu ca nhan, Ben Kiem soat va xur ly dur lieu ca nhan xur ly dur lieu ca nhan cua minh nham ngan chan hoac han ché tiet lo diu lieu ca nhan hoac sur dung cho muc dich quang cao, tiép thi, trir truong hop luat c6 quy dinh khac;\n- b) Ben Kiem soat dur lieu ca nhan, Ben Kiem soat va xur ly dur lieu ca nhan thuc hien yeu cau cua chu the du lieu trong 72 gio sau khi nhan duoc yeu cau, trir truong hop luat co quy dinh khac.']",simple
Chủ thể dữ liệu có quyền gì khi xảy ra vi phạm quy định về bảo vệ dữ liệu cá nhân của mình?,"Có quyền yêu cầu bồi thường thiệt hại theo quy định của pháp luật, trừ trường hợp các bên có thỏa thuận khác hoặc luật có quy định khác.","['Chu the dur lieu co quyen yeu cau boi thuong thiet hai theo quy dinh cua phap luat khi xay ra vi pham quy dinh vé bao ve dur lieu ca nhan cua minh, trur truong hop cac ben c6 thoa thuan khac hoac luat co quy dinh khac.']",simple
Chủ thể dữ liệu có quyền gì theo quy định của Nghị định này?,"Chủ thể dữ liệu có quyền tự bảo vệ theo quy định của Bộ luật Dân sự, luật khác có liên quan và Nghị định này.","['Chu the du lieu co quyen ty bao ve theo quy dinh cua Bo luat Dan su, luat khac c6 lien quan va Nghi dinh nay, hoac yeu cau co quan, to churc co tham I nia in yuip Anb oau ns uep unb ga oq onu sunud oo uy onn uanb Bo luat Dan syr.']",simple
Người có dữ liệu cá nhân có quyền gì theo đoạn trích?,"Tự bảo vệ dữ liệu cá nhân của mình; yêu cầu các tổ chức, cá nhân khác có liên quan bảo vệ dữ liệu cá nhân của mình.","['1. Ty bao ve du lieu ca nhan cua minh; yeu cau cac to churc, ca nhan khac c6 lien quan baove du lieu ca nhan cua minh.\n2. Ton trong, bao ve dur lieu ca nhan cua nguoi khac.\n3. Cung cap day du, chinh xac du lieu ca nhan khi dong y cho phép xur ly dur lieu ca nhan.\n4. Tham gia tuyen truyen, pho bién ky nang bao ve du lieu ca nhan.\n5. Thuc hien quy dinh cua phap luat ve bao ve dir lieu ca nhan va tham gia phong, chong cac hanh vi vi pham quy dinh ve bao ve dur lieu ca nhan.']",simple
Nội dung chính của đoạn trích trong BCTC.md là gì?,(Apdungdoivoringuoinopthuetinhthuethcopiraongplapkhaa trircohogtdongsansuaitkinhdoanh) [0la]Tenhogt dong san xuat kinh doanh:Hogt dong san xuait kinh doanh thong thuong,['(Apdungdoivoringuoinopthuetinhthuethcopiraongplapkhaa trircohogtdongsansuaitkinhdoanh) [0la]Tenhogt dong san xuat kinh doanh:Hogt dong san xuait kinh doanh thong thuong'],reasoning
Nội dung chính của đoạn trích trong BCTC.md là gì?,"| STT   | Chi tieu                                                                                                                                                         | Gia trj hang hoa, djeh vg (chua eo thue gia trj gia tang)                                                  ","['| STT   | Chi tieu                                                                                                                                                         | Gia trj hang hoa, djeh vg (chua eo thue gia trj gia tang)                                                                                                        | Gia trj hang hoa, djeh vg (chua eo thue gia trj gia tang)                                                                                                        | Thue gia tri gia tang                                     | Thue gia tri gia tang                                     |\n|-------|------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------']",reasoning
Nội dung chính của đoạn trích trong BCTC.md là gì?,"|   4.1 | Thue gia tri gia tang de nghi hoan (142] ≤ [41])                              | [42]   |   0 |
|-------|-------------------------------------------------------------------------------|--------|-----|
|   4.2 | Thue gia tri gia tang con durge khau trir chuyen ky sau ([43",['|   4.1 | Thue gia tri gia tang de nghi hoan (142] ≤ [41])                              | [42]   |   0 |\n|-------|-------------------------------------------------------------------------------|--------|-----|\n|   4.2 | Thue gia tri gia tang con durge khau trir chuyen ky sau ([43]=&#124;41]-[42]) | [43]   |   0 |'],reasoning
"Dựa trên Snippet A và Snippet B, hãy xác định: (1) tên hoạt động sản xuất kinh doanh được nêu trong Snippet A là gì, và (2) theo Snippet B, một trong những quyền của cá nhân đối với dữ liệu cá nhân của mình là gì?","(1) Tên hoạt động sản xuất kinh doanh: Hoạt động sản xuất kinh doanh thông thường; (2) Tự bảo vệ dữ liệu cá nhân của mình, yêu cầu các tổ chức, cá nhân khác có liên quan bảo vệ dữ liệu cá nhân của mình.","['(Apdungdoivoringuoinopthuetinhthuethcopiraongplapkhaa trircohogtdongsansuaitkinhdoanh) [0la]Tenhogt dong san xuat kinh doanh:Hogt dong san xuait kinh doanh thong thuong', '1. Ty bao ve du lieu ca nhan cua minh; yeu cau cac to churc, ca nhan khac c6 lien quan baove du lieu ca nhan cua minh.\n2. Ton trong, bao ve dur lieu ca nhan cua nguoi khac.\n3. Cung cap day du, chinh xac du lieu ca nhan khi dong y cho phép xur ly dur lieu ca nhan.\n4. Tham gia tuyen truyen, pho bién ky nang bao ve du lieu ca nhan.\n5. Thuc hien quy dinh cua phap luat ve bao ve dir lieu ca nhan va tham gia phong, chong cac hanh vi vi pham quy dinh ve bao ve dur lieu ca nhan.']",multi_context
"Dựa trên Snippet A và Snippet B, hãy xác định: (1) Snippet A đang thể hiện loại bảng biểu nào liên quan đến giá trị hàng hóa/dịch vụ và thuế, và (2) Snippet B đang nói về quyền gì của chủ thể dữ liệu theo quy định pháp luật?","Snippet A là một bảng kê/biểu mẫu về giá trị hàng hóa, dịch vụ và thuế giá trị gia tăng; Snippet B nói về quyền được bảo vệ dữ liệu cá nhân của chủ thể dữ liệu theo quy định của Bộ luật Dân sự và các văn bản liên quan.","['| STT   | Chi tieu                                                                                                                                                         | Gia trj hang hoa, djeh vg (chua eo thue gia trj gia tang)                                                                                                        | Gia trj hang hoa, djeh vg (chua eo thue gia trj gia tang)                                                                                                        | Thue gia tri gia tang                                     | Thue gia tri gia tang                                     |\n|-------|------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------', 'Chu the du lieu co quyen ty bao ve theo quy dinh cua Bo luat Dan su, luat khac c6 lien quan va Nghi dinh nay, hoac yeu cau co quan, to churc co tham I nia in yuip Anb oau ns uep unb ga oq onu sunud oo uy onn uanb Bo luat Dan syr.']",multi_context
"Dựa trên cả Snippet A và Snippet B, hãy cho biết: trong Snippet A, chỉ tiêu nào được ghi là ""Thue gia tri gia tang con durge khau trir chuyen ky sau"" và trong Snippet B, chủ thể dữ liệu có quyền gì khi xảy ra vi phạm quy định về bảo vệ dữ liệu cá nhân của mình?","Trong Snippet A, chỉ tiêu ""Thue gia tri gia tang con durge khau trir chuyen ky sau"" là mục 4.2, ký hiệu [43]. Trong Snippet B, chủ thể dữ liệu có quyền yêu cầu bồi thường thiệt hại theo quy định của pháp luật khi xảy ra vi phạm quy định về bảo vệ dữ liệu cá nhân của mình, trừ trường hợp các bên có thỏa thuận khác hoặc luật có quy định khác.","['|   4.1 | Thue gia tri gia tang de nghi hoan (142] ≤ [41])                              | [42]   |   0 |\n|-------|-------------------------------------------------------------------------------|--------|-----|\n|   4.2 | Thue gia tri gia tang con durge khau trir chuyen ky sau ([43]=&#124;41]-[42]) | [43]   |   0 |', 'Chu the dur lieu co quyen yeu cau boi thuong thiet hai theo quy dinh cua phap luat khi xay ra vi pham quy dinh vé bao ve dur lieu ca nhan cua minh, trur truong hop cac ben c6 thoa thuan khac hoac luat co quy dinh khac.']",multi_context
"Dựa trên Snippet A và Snippet B, hãy xác định: (1) Snippet A đang viện dẫn những đạo luật nào và ngày ban hành của chúng; (2) theo Snippet B, trong bao lâu bên kiểm soát dữ liệu cá nhân phải thực hiện yêu cầu của chủ thể dữ liệu sau khi nhận được yêu cầu?","Snippet A viện dẫn Luật Tổ chức Chính phủ ngày 19 tháng 6 năm 2015 và Luật sửa đổi, bổ sung một số điều của Luật Tổ chức Chính phủ và Luật Tổ chức chính quyền địa phương ngày 22 tháng 11 năm 2019; theo Snippet B, bên kiểm soát dữ liệu cá nhân phải thực hiện yêu cầu của chủ thể dữ liệu trong 72 giờ sau khi nhận được yêu cầu, trừ trường hợp luật có quy định khác.","['Can cur Luat T0 chirc Chinh phu ngay 19 thang 6 nam 2015; Luat sira doi, bo sung mot so dieu cia Luat To chirc Chinh phi va Luat To chirc chinh quyen dia phuong ngay 22 thang 11 nam 2019;', '- a) Chu the dur lieu dugc phan doi Ben Kiem soat du lieu ca nhan, Ben Kiem soat va xur ly dur lieu ca nhan xur ly dur lieu ca nhan cua minh nham ngan chan hoac han ché tiet lo diu lieu ca nhan hoac sur dung cho muc dich quang cao, tiép thi, trir truong hop luat c6 quy dinh khac;\n- b) Ben Kiem soat dur lieu ca nhan, Ben Kiem soat va xur ly dur lieu ca nhan thuc hien yeu cau cua chu the du lieu trong 72 gio sau khi nhan duoc yeu cau, trir truong hop luat co quy dinh khac.']",multi_context
"Theo Nghị định trong Snippet A, quy định về bảo vệ dữ liệu cá nhân áp dụng cho những đối tượng nào, và theo Snippet B thì chủ thể dữ liệu có quyền yêu cầu bên nào cung cấp dữ liệu cá nhân của chính mình?","Nghị định áp dụng đối với cơ quan, tổ chức, cá nhân Việt Nam; cơ quan, tổ chức, cá nhân nước ngoài tại Việt Nam; cơ quan, tổ chức, cá nhân Việt Nam hoạt động tại nước ngoài; và cơ quan, tổ chức, cá nhân nước ngoài trực tiếp tham gia hoặc có liên quan đến hoạt động xử lý dữ liệu cá nhân tại Việt Nam. Chủ thể dữ liệu được yêu cầu Bên Kiểm soát dữ liệu cá nhân, Bên Kiểm soát và xử lý dữ liệu cá nhân cung cấp cho bản thân dữ liệu cá nhân của mình, trừ trường hợp luật có quy định khác.","['1. Nghi dinh nay quy dinh ve bao ve du lieu ca nhan va trach nhiem bao ve du lieu ca nhan cua co quan, to chuc, ca nhan co lien quan.\n2. Nghi dinh nay ap dung doi voi:\n- a) Co quan, to churc, ca nhan Viet Nam;\n- b) Co quan, to churc, ca nhan nuoc ngoai tai Viet Nam;\n- c) Co quan, to churc, ca nhan Viet Nam hoat dong tai nuoc ngoai;\n- d) Co quan, t? chuc, ca nhan nuoc ngoai tryc tiép tham gia hoac c6 lien quan dén hoat dong xur ly du lieu ca nhan tai Viet Nam.', 'Chu the du lieu dugc yeu cau Ben Kiem soat du lieu ca nhan, Ben Kiem soat va xur ly dur lieu ca nhan cung cap cho ban than dur lieu ca nhan cua minh, trir truong hop luat co quy dinh khac.']",multi_context
"Theo Snippet A, dữ liệu cá nhân bao gồm những loại thông tin nào và dữ liệu cá nhân cơ bản gồm các nhóm thông tin gì; đồng thời theo Snippet B, chủ thể dữ liệu có quyền gì đối với việc xử lý dữ liệu cá nhân của mình và việc hạn chế xử lý phải được thực hiện trong bao lâu sau khi có yêu cầu?","Theo Snippet A, dữ liệu cá nhân là thông tin dưới dạng ký hiệu, chữ viết, chữ số, hình ảnh, âm thanh hoặc dạng tương tự trên môi trường điện tử gắn liền với một con người cụ thể hoặc giúp xác định một con người cụ thể; dữ liệu cá nhân bao gồm dữ liệu cá nhân cơ bản và dữ liệu cá nhân nhạy cảm. Dữ liệu cá nhân cơ bản gồm: họ, chữ đệm và tên khai sinh, tên gọi khác (nếu có); ngày, tháng, năm sinh; ngày, tháng, năm chết hoặc mất tích; giới tính; nơi sinh, nơi đăng ký khai sinh, nơi thường trú, nơi tạm trú, nơi ở hiện tại, quê quán, địa chỉ liên hệ; quốc tịch; hình ảnh của cá nhân; số điện thoại, số chứng minh nhân dân, số định danh cá nhân, số hộ chiếu, số giấy phép lái xe, số biển số xe, số mã số thuế cá nhân, số bảo hiểm xã hội, số thẻ bảo hiểm y tế; thông tin về tài khoản số của cá nhân; dữ liệu phản ánh hoạt động, lịch sử hoạt động trên không gian mạng; và các thông tin khác gắn liền với một con người cụ thể. Theo Snippet B, chủ thể dữ liệu có quyền yêu cầu hạn chế xử lý dữ liệu cá nhân của mình, trừ trường hợp luật có quy định khác; việc hạn chế xử lý phải được thực hiện trong 72 giờ sau khi có yêu cầu của chủ thể dữ liệu, đối với toàn bộ dữ liệu cá nhân mà chủ thể dữ liệu yêu cầu hạn chế, trừ trường hợp luật có quy định khác.","['1. Dt lieu ca nhan la thong tin duoi dang ky hieu, chtr viét, chur so, hinh anh, am thanh hoac dang turong ty tren moi truong dien tur gan lien voi mot con nguoi cu the hoac giup xac dinh mot con nguoi cu the. Du lieu ca nhan bao gom dir lieu ca nhan co ban va du lieu ca nhan nhay cam.\n2. quy u u i q no ynu uoo no qp ox dn u suou 7 tu hoat dong cua ca nhan ma khi ket hop voi cac du lieu, thong tin luu tru khac co the xac dinh mot con nguoi cy the.\n3. Dur lieu ca nhan co ban bao gom:\n- a) Ho, chur dem va ten khai sinh, ten goi khac (neu co);\n- b) Ngay, thang, nam sinh; ngay, thang, nam chet hoac mat tich;\n- c) Gioi tinh;\n- d) Noi sinh, noi dang ky khai sinh, noi thuong tru, noi tam tru, noi ? hien tai, que quan, dia chi lien hé;\n- d) Quoc tich;\n- e) Hinh anh cua ca nhan;\n- g) S6 dien thoai, so chung minh nhan dan, so dinh danh ca nhan, so ho chieu, so giay phep lai xe, so bien so xe, so m', '- a) Chu the du lieu duoc yeu cau han ché xur ly dur lieu ca nhan cua minh, trir truong hop luat c6 quy dinh khac;\n- b) Viec han che xiur ly dur lieu dugc thuc hien trong 72 gio sau khi c6 yeu cau cua chu the du lieu, voi toan bo du lieu ca nhan ma chu thé du lieu yéu cau han che, tri truong hop luat co quy dinh khac.']",multi_context
